"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","beta1","beta2","corr_thr","drop_correlated","gamma","hand","learning_rate","minority_oversample","model","momentum","num_epochs","optimizer","patience","random_state","scaling_method","scheduler","seed","step_size","use_feature_scaling","use_scheduler","weight_decay","BS","ECE","FPR","NPV","PPV","TNR","TPR","accuracy","auroc","average_precision","confusion_matrix.fn","confusion_matrix.fp","confusion_matrix.tn","confusion_matrix.tp","dev_accuracy","dev_auroc","dev_balanced_accuracy","dev_f1","dev_loss","f1_score","loss","precision","recall","sensitivity","specificity","train_loss","weighted_accuracy"
"twilight-sweep-10","","finished","-","","","2024-04-29T20:56:39.000Z","12","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","425","11","yes","no","0.0001","0.22962824632307535","0.15283553359600216","0.26618705035971224","0.8031496062992126","0.5432098765432098","0.7338129496402878","0.6376811594202898","0.7019230769230769","0.7063914086122406","0.579576653647214","25","37","102","44","0.6923076923076923","0.7199231709446482","0.6847128517360539","0.6344086021505376","0.8181581799261171","0.5866666666666667","0.8745880860548753","0.5432098765432098","0.6376811594202898","0.6376811594202898","0.7338129496402878","0.5945832133293152","0.6731797414212113"
"wild-sweep-9","","finished","-","","","2024-04-29T20:56:36.000Z","11","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","372","11","yes","no","0.0001","0.19424676521313744","0.12576894261516058","0.1942446043165468","0.835820895522388","0.6351351351351351","0.8057553956834532","0.6811594202898551","0.7644230769230769","0.7578980294025649","0.5998745194143621","22","27","112","47","0.7013574660633484","0.7152086607298761","0.6938045088036859","0.6451612903225806","0.76471982930041","0.6573426573426573","0.7284115277803861","0.6351351351351351","0.6811594202898551","0.6811594202898551","0.8057553956834532","0.5375106930732727","0.7354780153287616"
"dainty-sweep-8","","finished","-","","","2024-04-29T20:56:34.000Z","10","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","713","11","yes","no","0.0001","0.1949718054757365","0.10664298328069538","0.2158273381294964","0.8257575757575758","0.6052631578947368","0.7841726618705036","0.6666666666666666","0.7451923076923077","0.7632155145448858","0.6106472683227693","23","30","109","46","0.6470588235294118","0.720359699668238","0.6355770822983938","0.5714285714285714","0.7609843948847568","0.6344827586206897","0.7605358270498422","0.6052631578947368","0.6666666666666666","0.6666666666666666","0.7841726618705036","0.5970289707183838","0.7155103668261563"
"earthy-sweep-7","","finished","-","","","2024-04-29T20:56:23.000Z","14","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","130","11","yes","no","0.0001","0.200413111711495","0.13407439451951247","0.20863309352517984","0.8148148148148148","0.6027397260273972","0.7913669064748201","0.6376811594202898","0.7403846153846154","0.7610259618392242","0.5797362786921693","25","29","110","44","0.6742081447963801","0.707700366684128","0.663023679417122","0.6043956043956044","0.8111926462855275","0.6197183098591549","0.774265876183143","0.6027397260273972","0.6376811594202898","0.6376811594202898","0.7913669064748201","0.5623773336410522","0.7087772704211059"
"solar-sweep-6","","finished","-","","","2024-04-29T20:56:22.000Z","14","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","311","11","yes","no","0.0001","0.2040955747353568","0.14349524820080167","0.23741007194244604","0.7969924812030075","0.56","0.762589928057554","0.6086956521739131","0.7115384615384616","0.7299551663017413","0.571071443046603","27","33","106","42","0.6968325791855203","0.7047319713637156","0.6810751600943714","0.6171428571428571","0.7849493932939763","0.5833333333333334","0.7994020168597882","0.56","0.6086956521739131","0.6086956521739131","0.762589928057554","0.9396294951438904","0.6784962406015038"
"usual-sweep-5","","finished","-","","","2024-04-29T20:56:21.000Z","14","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","189","11","yes","no","0.0001","0.1880582546039277","0.11963022901461672","0.23741007194244604","0.8548387096774194","0.6071428571428571","0.762589928057554","0.7391304347826086","0.7548076923076923","0.7889688249400479","0.6282498206555104","18","33","106","51","0.6606334841628959","0.7118037366858738","0.6558244462674323","0.6031746031746031","0.7941949076242576","0.6666666666666666","0.7006389177762545","0.6071428571428571","0.7391304347826086","0.7391304347826086","0.762589928057554","0.49200284481048584","0.7309907834101382"
"comic-sweep-4","","finished","-","","","2024-04-29T20:56:19.000Z","14","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","146","11","yes","no","0.0001","0.2192483493866869","0.12436115082639916","0.2446043165467626","0.7954545454545454","0.5526315789473685","0.7553956834532374","0.6086956521739131","0.7067307692307693","0.7040975914920238","0.5626011412524841","27","34","105","42","0.6606334841628959","0.6872708224201152","0.648456943753111","0.585635359116022","0.8199249543755303","0.5793103448275863","0.8001356858473557","0.5526315789473685","0.6086956521739131","0.6086956521739131","0.7553956834532374","0.5415008664131165","0.674043062200957"
"magic-sweep-3","","finished","-","","","2024-04-29T20:55:53.000Z","10","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","136","11","yes","no","0.0001","0.2081972421375955","0.11170248715923384","0.2446043165467626","0.813953488372093","0.569620253164557","0.7553956834532374","0.6521739130434783","0.7211538461538461","0.7338129496402879","0.5649269149931171","24","34","105","45","0.6968325791855203","0.7049938885978697","0.6866942148760331","0.6338797814207651","0.8228557465842407","0.6081081081081081","0.8214285190288837","0.569620253164557","0.6521739130434783","0.6521739130434783","0.7553956834532374","0.5902308225631714","0.691786870768325"
"dazzling-sweep-2","","finished","-","","","2024-04-29T20:55:37.000Z","10","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","226","11","yes","no","0.0001","0.20848194614534749","0.10889316808718902","0.1942446043165468","0.8057553956834532","0.6086956521739131","0.8057553956834532","0.6086956521739131","0.7403846153846154","0.7338129496402878","0.5509290718922631","27","27","112","42","0.6923076923076923","0.7052558058320237","0.6770413306451613","0.6136363636363636","0.8314594941980699","0.6086956521739131","0.8295330634483924","0.6086956521739131","0.6086956521739131","0.6086956521739131","0.8057553956834532","0.6862918138504028","0.7072255239286831"
"clear-sweep-1","","finished","-","","","2024-04-29T20:55:21.000Z","14","ft_both_hand_stats","256","0.9","0.999","0.85","no","0.8808588244592819","both","0.6246956232061768","no","ShallowANN","0.8046223742478498","82","SGD","3","703","StandardScaler","step","703","11","yes","no","0.0001","0.22349196669878485","0.15628753201319623","0.2733812949640288","0.7952755905511811","0.5308641975308642","0.7266187050359713","0.6231884057971014","0.6923076923076923","0.714836826191221","0.5920301892936162","26","38","101","43","0.6742081447963801","0.6850008730574471","0.663023679417122","0.6043956043956044","0.8302305057577418","0.5733333333333334","0.7959022521972656","0.5308641975308642","0.6231884057971014","0.6231884057971014","0.7266187050359713","0.6718167066574097","0.6630698940410227"
