FS_Method,Classifier,N_Features,Category,MAE,Spearman,Kappa,AAcc,MAE_CI_lo,MAE_CI_hi,Spearman_CI_lo,Spearman_CI_hi,Kappa_CI_lo,Kappa_CI_hi,AAcc_CI_lo,AAcc_CI_hi,norm_MAE,norm_Spearman,norm_Kappa,norm_AAcc,Composite
F-regression,KNN-reg(k=5),8,filter,0.5283018867924528,0.6029332787507412,0.517010935601458,0.9811320754716981,0.37735849056603776,0.6792452830188679,0.4323923570656976,0.7489494223797791,0.3972575922878258,0.6377549096397677,0.9433962264150944,1.0,0.3846153846153846,0.61956890737727,0.581884637460309,1.0,0.6465172323632409
F-regression,SVR(rbf),8,filter,0.5660377358490566,0.45335527604218345,0.33618984838497035,0.9622641509433962,0.39622641509433965,0.7358490566037735,0.21783708375118926,0.6514742105480816,0.15302219577177864,0.5431034482758621,0.9056603773584906,1.0,0.23076923076923073,0.15994656341248029,0.02834860530925759,0.5,0.22976609987274216
F-regression,RandomForest-R,8,filter,0.5283018867924528,0.5370640176460664,0.4410019775873434,0.9622641509433962,0.37735849056603776,0.6792452830188679,0.32711461189429264,0.7124155657959597,0.2794372441409393,0.5747942302943997,0.9056603773584906,1.0,0.3846153846153846,0.417166257014649,0.3492032744913084,0.5,0.41274622903033553
F-classif (ANOVA),KNN-reg(k=5),8,filter,0.5094339622641509,0.5978522679460229,0.5318306427048431,0.9811320754716981,0.37735849056603776,0.660377358490566,0.41676268026114094,0.7407162603691174,0.39035590141444226,0.6552641867198585,0.9433962264150944,1.0,0.46153846153846156,0.6039560094010528,0.6272512592074022,1.0,0.6731864325367292
F-classif (ANOVA),SVR(rbf),8,filter,0.5471698113207547,0.489068817185955,0.36144578313253006,0.9622641509433962,0.39622641509433965,0.7358490566037735,0.276075370359278,0.6820248017026823,0.17928900241497034,0.5630172914085204,0.9056603773584906,1.0,0.3076923076923077,0.2696869075442723,0.10566298342541426,0.5,0.2957605496654986
F-classif (ANOVA),RandomForest-R,8,filter,0.4716981132075472,0.6307836329682449,0.546473886102095,0.9622641509433962,0.32075471698113206,0.6226415094339622,0.43017467797949777,0.7814915262364337,0.3808411214953271,0.6835218900263688,0.9056603773584906,1.0,0.6153846153846154,0.7051473002820067,0.6720776838944328,0.5,0.6231523998902637
mRMR,KNN-reg(k=5),8,filter,0.5094339622641509,0.594057711266635,0.5298256347506882,0.9811320754716981,0.3584905660377358,0.660377358490566,0.4048110605223028,0.7469695906263039,0.3892918090015583,0.6568050937451037,0.9433962264150944,1.0,0.46153846153846156,0.5922961195529065,0.6211134565624847,1.0,0.6687370094134633
mRMR,SVR(rbf),8,filter,0.5283018867924528,0.48004790310076934,0.3483606557377049,0.9622641509433962,0.3584905660377358,0.6981132075471698,0.2518301727854697,0.6749288469620143,0.1657506626009074,0.5511723450783503,0.9056603773584906,1.0,0.3846153846153846,0.24196749960020023,0.06560631962684545,0.5,0.2980473009606076
mRMR,RandomForest-R,8,filter,0.5283018867924528,0.5377123693220214,0.4961378490790256,0.9622641509433962,0.37735849056603776,0.6792452830188679,0.3164154094883304,0.7160568720844642,0.3040235921156093,0.6417044813010983,0.9056603773584906,1.0,0.3846153846153846,0.41915850795810194,0.5179871923656457,0.5,0.45544027123478303
LASSO-CV,KNN-reg(k=5),8,embedded,0.5849056603773585,0.4483699561608027,0.3708694257298685,0.9433962264150944,0.4339622641509434,0.7547169811320755,0.20674078553255076,0.6471985741271183,0.17153789664018582,0.5264109101195311,0.8679245283018868,1.0,0.15384615384615385,0.14462770390237542,0.13451097793777494,0.0,0.10824620892157606
LASSO-CV,SVR(rbf),8,embedded,0.5660377358490566,0.526568126113331,0.40375000000000005,0.9811320754716981,0.41509433962264153,0.7358490566037735,0.34725166881877473,0.6861842747002528,0.23270181823383243,0.5727129086699108,0.9433962264150944,1.0,0.23076923076923073,0.3849145476662128,0.23516617748618812,1.0,0.4627124889804079
LASSO-CV,RandomForest-R,8,embedded,0.4716981132075472,0.6216261825932993,0.585379012678716,0.9622641509433962,0.32075471698113206,0.6226415094339622,0.4367186660768938,0.7706520659971646,0.4209282419273119,0.72097920296646,0.9056603773584906,1.0,0.6153846153846154,0.6770083444873192,0.7911754601940187,0.5,0.6458921050164883
ElasticNet-CV,KNN-reg(k=5),8,embedded,0.5849056603773585,0.4483699561608027,0.3708694257298685,0.9433962264150944,0.4339622641509434,0.7358490566037735,0.20693339425677143,0.6501601816773844,0.1703370298351276,0.5287097642242228,0.8679245283018868,1.0,0.15384615384615385,0.14462770390237542,0.13451097793777494,0.0,0.10824620892157606
ElasticNet-CV,SVR(rbf),8,embedded,0.5660377358490566,0.526568126113331,0.40375000000000005,0.9811320754716981,0.41509433962264153,0.7358490566037735,0.3493320966138406,0.6828939469117606,0.2355650605214152,0.5652543504563421,0.9433962264150944,1.0,0.23076923076923073,0.3849145476662128,0.23516617748618812,1.0,0.4627124889804079
ElasticNet-CV,RandomForest-R,8,embedded,0.4716981132075472,0.6216261825932993,0.585379012678716,0.9622641509433962,0.32075471698113206,0.6226415094339622,0.430029683687203,0.7699529743086014,0.412488396871393,0.7202511977169943,0.9056603773584906,1.0,0.6153846153846154,0.6770083444873192,0.7911754601940187,0.5,0.6458921050164883
