llm,ml,alpha,MAE,Spearman,Kappa,AAcc
qwen2.5_72b,RandomForest,0.0,0.4716981132075472,0.6629845606801177,0.5777515491295367,0.9811320754716981
qwen2.5_72b,RandomForest,0.05,0.4716981132075472,0.6629845606801177,0.5777515491295367,0.9811320754716981
qwen2.5_72b,RandomForest,0.1,0.4716981132075472,0.6708832305083597,0.5834061135371178,0.9811320754716981
qwen2.5_72b,RandomForest,0.15,0.49056603773584906,0.6424312547275893,0.5595567867036011,0.9622641509433962
qwen2.5_72b,RandomForest,0.2,0.5283018867924528,0.5858047707931495,0.5721205597416578,0.9811320754716981
qwen2.5_72b,RandomForest,0.25,0.5094339622641509,0.6021573230168756,0.5954198473282444,0.9811320754716981
qwen2.5_72b,RandomForest,0.3,0.5283018867924528,0.5858047707931495,0.5721205597416578,0.9811320754716981
qwen2.5_72b,RandomForest,0.35,0.5094339622641509,0.5990587970380673,0.6109845608706657,0.9811320754716981
qwen2.5_72b,RandomForest,0.4,0.5094339622641509,0.5422126979509754,0.56889327088982,0.9433962264150944
qwen2.5_72b,RandomForest,0.45,0.49056603773584906,0.5602190132843814,0.5903381642512078,0.9433962264150944
qwen2.5_72b,RandomForest,0.5,0.5094339622641509,0.5459049306739653,0.5798702858515494,0.9433962264150944
qwen2.5_72b,RandomForest,0.55,0.5283018867924528,0.5042212884348095,0.5441949354992834,0.9245283018867925
qwen2.5_72b,RandomForest,0.6,0.5471698113207547,0.5111103509605462,0.5455388180764774,0.9245283018867925
qwen2.5_72b,RandomForest,0.65,0.5660377358490566,0.47156975033011805,0.5112955278930382,0.9056603773584906
qwen2.5_72b,RandomForest,0.7,0.5660377358490566,0.47156975033011805,0.5112955278930382,0.9056603773584906
qwen2.5_72b,RandomForest,0.75,0.5660377358490566,0.47156975033011805,0.5112955278930382,0.9056603773584906
qwen2.5_72b,RandomForest,0.8,0.5660377358490566,0.47156975033011805,0.5112955278930382,0.9056603773584906
qwen2.5_72b,RandomForest,0.85,0.5660377358490566,0.47156975033011805,0.5112955278930382,0.9056603773584906
qwen2.5_72b,RandomForest,0.9,0.5660377358490566,0.47156975033011805,0.5112955278930382,0.9056603773584906
qwen2.5_72b,RandomForest,0.95,0.5660377358490566,0.47156975033011805,0.5112955278930382,0.9056603773584906
qwen2.5_72b,RandomForest,1.0,0.5283018867924528,0.5213614960581507,0.5406021897810218,0.9056603773584906
qwen2.5_72b,ExtraTrees,0.0,0.5471698113207547,0.5817406117350928,0.5064583959146891,0.9811320754716981
qwen2.5_72b,ExtraTrees,0.05,0.5471698113207547,0.6088585489373582,0.5280091927607009,0.9811320754716981
qwen2.5_72b,ExtraTrees,0.1,0.5471698113207547,0.6088585489373582,0.5280091927607009,0.9811320754716981
qwen2.5_72b,ExtraTrees,0.15,0.5283018867924528,0.617510815749295,0.5320776927604474,0.9811320754716981
qwen2.5_72b,ExtraTrees,0.2,0.5283018867924528,0.617510815749295,0.5320776927604474,0.9811320754716981
qwen2.5_72b,ExtraTrees,0.25,0.5660377358490566,0.5900766354595347,0.5159817351598175,0.9811320754716981
qwen2.5_72b,ExtraTrees,0.3,0.5283018867924528,0.5843079428729134,0.5562532705389849,0.9622641509433962
qwen2.5_72b,ExtraTrees,0.35,0.5094339622641509,0.6012034104259578,0.5675177678336405,0.9622641509433962
qwen2.5_72b,ExtraTrees,0.4,0.4716981132075472,0.6409953648629252,0.6064020486555698,0.9622641509433962
qwen2.5_72b,ExtraTrees,0.45,0.4528301886792453,0.6262386337481815,0.6415458937198069,0.9622641509433962
qwen2.5_72b,ExtraTrees,0.5,0.4716981132075472,0.5836393390988273,0.6053326927696373,0.9433962264150944
qwen2.5_72b,ExtraTrees,0.55,0.49056603773584906,0.5418638056608347,0.5695174390826565,0.9245283018867925
qwen2.5_72b,ExtraTrees,0.6,0.5283018867924528,0.5352898329124071,0.5601659751037344,0.9245283018867925
qwen2.5_72b,ExtraTrees,0.65,0.5471698113207547,0.49624444417429997,0.5260261407933962,0.9056603773584906
qwen2.5_72b,ExtraTrees,0.7,0.5471698113207547,0.49624444417429997,0.5260261407933962,0.9056603773584906
